 < 23:54:03 >  0 48,0324058532715 35 
 < 23:54:04 >  0 47,974536895752 35 
 < 23:54:05 >  0 47,9166641235352 35 
 < 23:54:06 >  0 47,8587951660156 35 
 < 23:54:07 >  0 47,8009262084961 35 
 < 23:54:08 >  0 47,7719917297363 35 
 < 23:54:09 >  0 47,7141189575195 35 
 < 23:54:10 >  0 47,65625 35 
 < 23:54:11 >  0 47,6273155212402 35 
 < 23:54:12 >  0 47,5694427490234 35 
 < 23:54:13 >  0 47,5115737915039 35 
 < 23:54:14 >  0 47,4537010192871 35 
 < 23:54:15 >  0 47,4247665405273 35 
 < 23:54:16 >  0 47,3668975830078 35 
 < 23:54:17 >  0 47,2800903320313 35 
 < 23:54:18 >  0 47,2222213745117 35 
 < 23:54:19 >  0 47,1354141235352 35 
 < 23:54:20 >  0 47,0775451660156 35 
 < 23:54:21 >  0 47,0196762084961 35 
 < 23:54:22 >  0 46,9618034362793 35 
 < 23:54:23 >  0 46,9039344787598 35 
 < 23:54:24 >  0 46,875 35 
 < 23:54:25 >  0 46,8171272277832 35 
 < 23:54:26 >  0 46,7592582702637 35 
 < 23:54:27 >  0 46,7013893127441 35 
 < 23:54:28 >  0 46,6724510192871 35 
 < 23:54:29 >  0 46,6145820617676 35 
 < 23:54:30 >  0 46,556713104248 35 
 < 23:54:31 >  0 46,5277786254883 35 
 < 23:54:32 >  0 46,4699058532715 35 
 < 23:54:33 >  0 46,4409713745117 35 
 < 23:54:34 >  0 46,3831024169922 35 
 < 23:54:35 >  0 46,3541641235352 35 
 < 23:54:36 >  0 46,2962951660156 35 
 < 23:54:37 >  0 46,2384262084961 35 
 < 23:54:38 >  0 46,2094917297363 35 
 < 23:54:39 >  0 46,1226844787598 35 
 < 23:54:40 >  0 46,09375 35 
 < 23:54:41 >  0 46,0358772277832 35 
 < 23:54:42 >  0 45,9780082702637 35 
 < 23:54:43 >  0 45,9201393127441 35 
 < 23:54:44 >  0 45,8622665405273 35 
 < 23:54:45 >  0 45,8333320617676 35 
 < 23:54:46 >  0 45,775463104248 35 
 < 23:54:47 >  0 45,7175903320313 35 
 < 23:54:48 >  0 45,6886558532715 35 
 < 23:54:49 >  0 45,630786895752 35 
 < 23:54:50 >  0 45,5729141235352 35 
 < 23:54:51 >  0 45,5150451660156 35 
 < 23:54:52 >  0 45,4861106872559 35 
 < 23:54:53 >  0 45,3993034362793 35 
 < 23:54:54 >  0,144178777933121 45,3125 35 
 < 23:54:55 >  0 45,3125 35 
 < 23:54:56 >  0 45,2546272277832 35 
 < 23:54:57 >  0 45,2256927490234 35 
 < 23:54:58 >  0 45,1678237915039 35 
 < 23:54:59 >  0 45,1099548339844 35 
 < 23:55:00 >  0 45,0520820617676 35 
 < 23:55:01 >  0 45,0231475830078 35 
 < 23:55:02 >  0 44,9652786254883 35 
 < 23:55:03 >  0 44,9074058532715 35 
 < 23:55:04 >  0 44,849536895752 35 
 < 23:55:05 >  0 44,8206024169922 35 
 < 23:55:06 >  0 44,7627296447754 35 
 < 23:55:07 >  0 44,7048606872559 35 
 < 23:55:08 >  0 44,6469917297363 35 
 < 23:55:09 >  0 44,5891189575195 35 
 < 23:55:10 >  0 44,53125 35 
 < 23:55:11 >  0 44,4733772277832 35 
 < 23:55:12 >  0 44,4155082702637 35 
 < 23:55:13 >  0 44,3865737915039 35 
 < 23:55:14 >  0 44,3287048339844 35 
 < 23:55:15 >  0 44,2708320617676 35 
 < 23:55:16 >  0 44,212963104248 35 
 < 23:55:17 >  0 44,1840286254883 35 
 < 23:55:18 >  0 44,1261558532715 35 
 < 23:55:19 >  0 44,0972213745117 35 
 < 23:55:20 >  0 44,0393524169922 35 
 < 23:55:21 >  0 44,0104141235352 35 
 < 23:55:22 >  0 43,9814796447754 35 
 < 23:55:23 >  0 43,9236106872559 35 
 < 23:55:24 >  0 43,8946762084961 35 
 < 23:55:25 >  0 43,8657417297363 35 
 < 23:55:26 >  0 43,8368034362793 35 
 < 23:55:27 >  8,54507088661194E-5 43,7789344787598 35 
 < 23:55:28 >  0 43,75 35 
 < 23:55:29 >  0 43,7210655212402 35 
 < 23:55:30 >  0 43,6631927490234 35 
 < 23:55:31 >  0 43,6342582702637 35 
 < 23:55:32 >  0 43,6053237915039 35 
 < 23:55:33 >  0 43,5474548339844 35 
 < 23:55:34 >  0 43,5185165405273 35 
 < 23:55:35 >  0 43,4895820617676 35 
 < 23:55:36 >  0 43,431713104248 35 
 < 23:55:37 >  0 43,4027786254883 35 
 < 23:55:38 >  0 43,3449058532715 35 
 < 23:55:39 >  0 43,287036895752 35 
 < 23:55:40 >  0 43,2581024169922 35 
 < 23:55:41 >  0 43,2002296447754 35 
 < 23:55:42 >  0 43,1712951660156 35 
 < 23:55:43 >  0 43,1423606872559 35 
 < 23:55:44 >  0 43,0844917297363 35 
 < 23:55:45 >  0 43,0555534362793 35 
 < 23:55:46 >  0 43,0266189575195 35 
 < 23:55:47 >  0 42,9976844787598 35 
 < 23:55:48 >  0,0184799209237099 42,9398155212402 35 
 < 23:55:49 >  0 42,9108772277832 35 
 < 23:55:50 >  0 42,8819427490234 35 
 < 23:55:51 >  0 42,8530082702637 35 
 < 23:55:52 >  0 42,8240737915039 35 
 < 23:55:53 >  0 42,7951393127441 35 
 < 23:55:54 >  0,000492095947265625 42,7372665405273 35 
 < 23:55:55 >  0 42,7083320617676 35 
 < 23:55:56 >  0 42,6793975830078 35 
 < 23:55:57 >  0 42,6215286254883 35 
 < 23:55:58 >  0 42,5925903320313 35 
 < 23:55:59 >  0 42,5347213745117 35 
 < 23:56:00 >  0 42,505786895752 35 
 < 23:56:01 >  0 42,4479141235352 35 
 < 23:56:02 >  0 42,3900451660156 35 
 < 23:56:03 >  0 42,3611106872559 35 
 < 23:56:04 >  0 42,3032417297363 35 
 < 23:56:05 >  0 42,2743034362793 35 
 < 23:56:06 >  0 42,2453689575195 35 
 < 23:56:07 >  0 42,1875 35 
 < 23:56:08 >  0,0135032646358013 42,1296272277832 35 
 < 23:56:09 >  0 42,1006927490234 35 
 < 23:56:10 >  0 42,0428237915039 35 
 < 23:56:11 >  0 42,0138893127441 35 
 < 23:56:12 >  0 41,9849548339844 35 
 < 23:56:13 >  0 41,9270820617676 35 
 < 23:56:14 >  0 41,8981475830078 35 
 < 23:56:15 >  0 41,8402786254883 35 
 < 23:56:16 >  0 41,8113403320313 35 
 < 23:56:17 >  0 41,7534713745117 35 
 < 23:56:18 >  0 41,724536895752 35 
 < 23:56:19 >  0 41,6666641235352 35 
 < 23:56:20 >  0 41,6377296447754 35 
 < 23:56:21 >  0 41,6087951660156 35 
 < 23:56:22 >  0,0282333381474018 41,5509262084961 35 
 < 23:56:23 >  0 41,5219917297363 35 
 < 23:56:24 >  0 41,4930534362793 35 
 < 23:56:25 >  0 41,4351844787598 35 
 < 23:56:26 >  0 41,40625 35 
 < 23:56:27 >  0 41,3483772277832 35 
 < 23:56:28 >  0 41,3194427490234 35 
 < 23:56:29 >  0 41,2615737915039 35 
 < 23:56:30 >  0,00553856045007706 41,2037048339844 35 
 < 23:56:31 >  0 41,1747665405273 35 
 < 23:56:32 >  0 41,1458320617676 35 
 < 23:56:33 >  0 41,087963104248 35 
 < 23:56:34 >  0,069672018289566 41,0300903320313 35 
 < 23:56:35 >  0 41,0011558532715 35 
 < 23:56:36 >  0 40,943286895752 35 
 < 23:56:37 >  0 40,9143524169922 35 
 < 23:56:38 >  0 40,8564796447754 35 
 < 23:56:39 >  0 40,7986106872559 35 
 < 23:56:40 >  0 40,7696762084961 35 
 < 23:56:41 >  0 40,7118034362793 35 
 < 23:56:42 >  0 40,6828689575195 35 
 < 23:56:43 >  0 40,625 35 
 < 23:56:44 >  0 40,5960655212402 35 
 < 23:56:45 >  0 40,5381927490234 35 
 < 23:56:46 >  0 40,5092582702637 35 
 < 23:56:47 >  0 40,4803237915039 35 
 < 23:56:48 >  0 40,4513893127441 35 
 < 23:56:49 >  0,0187137611210346 40,3935165405273 35 
 < 23:56:50 >  0 40,3645820617676 35 
 < 23:56:51 >  0 40,306713104248 35 
 < 23:56:52 >  0 40,2777786254883 35 
 < 23:56:53 >  0 40,2199058532715 35 
 < 23:56:54 >  0 40,162036895752 35 
 < 23:56:55 >  0 40,1331024169922 35 
 < 23:56:56 >  0 40,1041641235352 35 
 < 23:56:57 >  0 40,0462951660156 35 
 < 23:56:58 >  0,0628192871809006 39,9884262084961 35 
 < 23:56:59 >  0 39,9594917297363 35 
 < 23:57:00 >  0 39,9016189575195 35 
 < 23:57:01 >  0 39,8726844787598 35 
 < 23:57:02 >  0 39,84375 35 
 < 23:57:03 >  0 39,8148155212402 35 
 < 23:57:04 >  0,0724456757307053 39,7569427490234 35 
 < 23:57:05 >  0,0108375549316406 39,7280082702637 35 
 < 23:57:06 >  0 39,6990737915039 35 
 < 23:57:07 >  0,0388195030391216 39,6412048339844 35 
 < 23:57:08 >  0,0504802726209164 39,6122665405273 35 
 < 23:57:09 >  0 39,6122665405273 35 
 < 23:57:10 >  0 39,6122665405273 35 
 < 23:57:11 >  0,0372428894042969 39,5543975830078 35 
 < 23:57:12 >  0,145457461476326 39,4965286254883 35 
 < 23:57:13 >  0 39,4965286254883 35 
 < 23:57:14 >  0 39,4675903320313 35 
 < 23:57:15 >  0 39,4386558532715 35 
 < 23:57:16 >  0 39,4097213745117 35 
 < 23:57:17 >  0 39,380786895752 35 
 < 23:57:18 >  0 39,3518524169922 35 
 < 23:57:19 >  0 39,3229141235352 35 
 < 23:57:20 >  0 39,2939796447754 35 
 < 23:57:21 >  0 39,2650451660156 35 
 < 23:57:22 >  0 39,2361106872559 35 
 < 23:57:23 >  0,0787948668003082 39,1782417297363 35 
 < 23:57:24 >  0 39,1782417297363 35 
 < 23:57:25 >  0 39,1493034362793 35 
 < 23:57:26 >  0 39,1203689575195 35 
 < 23:57:27 >  0 39,0914344787598 35 
 < 23:57:28 >  0 39,0625 35 
 < 23:57:29 >  0 39,0335655212402 35 
 < 23:57:30 >  0,0624446868896484 38,9756927490234 35 
 < 23:57:31 >  0 38,9756927490234 35 
 < 23:57:32 >  0 38,9467582702637 35 
