 < 22:57:25 >  26 0 25,6076393127441 
 < 22:57:26 >  26 0 25,6076393127441 
 < 22:57:27 >  26 0 25,6076393127441 
 < 22:57:28 >  26 0 25,5787029266357 
 < 22:57:29 >  26 0 25,5787029266357 
 < 22:57:30 >  26 0 25,5787029266357 
 < 22:57:31 >  26 0 25,549768447876 
 < 22:57:32 >  26 0 25,549768447876 
 < 22:57:33 >  26 0 25,549768447876 
 < 22:57:34 >  26 0 25,549768447876 
 < 22:57:35 >  26 0 25,5208320617676 
 < 22:57:36 >  26 0 25,5208320617676 
 < 22:57:37 >  26 0 25,5208320617676 
 < 22:57:38 >  26 0 25,5208320617676 
 < 22:57:39 >  26 0 25,5208320617676 
 < 22:57:40 >  26 0 25,4918975830078 
 < 22:57:41 >  26 0 25,4918975830078 
 < 22:57:42 >  26 0 25,462963104248 
 < 22:57:43 >  26 0 25,462963104248 
 < 22:57:44 >  26 0 25,462963104248 
 < 22:57:45 >  26 0 25,4050922393799 
 < 22:57:46 >  26 0 25,4340267181396 
 < 22:57:47 >  26 0 25,4340267181396 
 < 22:57:48 >  26 0 25,4340267181396 
 < 22:57:49 >  26 0,18041530251503 25,4050922393799 
 < 22:57:50 >  26 0,0638153105974197 25,4340267181396 
 < 22:57:51 >  26 0,104766651988029 25,4340267181396 
 < 22:57:52 >  26 0,143279701471329 25,4340267181396 
 < 22:57:53 >  26 0,349296182394028 25,4050922393799 
 < 22:57:54 >  26 0,205432221293449 25,4340267181396 
 < 22:57:55 >  26 0,567107439041138 25,3761577606201 
 < 22:57:56 >  26 0,434515804052353 25,4050922393799 
 < 22:57:57 >  26 0,477276027202606 25,4050922393799 
 < 22:57:58 >  26 0,658515810966492 25,3761577606201 
 < 22:57:59 >  26 0,864472389221191 25,3472213745117 
 < 22:58:00 >  26 0,884527206420898 25,3472213745117 
 < 22:58:01 >  26 0,92025625705719 25,3472213745117 
 < 22:58:02 >  26 1,11234664916992 25,318286895752 
 < 22:58:03 >  26 1,14964282512665 25,318286895752 
 < 22:58:04 >  26 0,857444643974304 25,3761577606201 
 < 22:58:05 >  26 1,24717509746552 25,318286895752 
 < 22:58:06 >  40 1,45148515701294 25,2893505096436 
 < 22:58:07 >  40 73,0394821166992 25,2604160308838 
 < 22:58:08 >  40 68,482666015625 25,2893505096436 
 < 22:58:09 >  40 69,2424240112305 25,2893505096436 
 < 22:58:10 >  40 69,9334411621094 25,3472213745117 
 < 22:58:11 >  40 70,8061676025391 25,3761577606201 
 < 22:58:12 >  40 71,8302612304688 25,3761577606201 
 < 22:58:13 >  40 72,3736801147461 25,462963104248 
 < 22:58:14 >  40 73,2301177978516 25,4918975830078 
 < 22:58:15 >  40 73,9332427978516 25,549768447876 
 < 22:58:16 >  40 74,6331405639648 25,6076393127441 
 < 22:58:17 >  40 75,3218460083008 25,6655082702637 
 < 22:58:18 >  40 76,3528747558594 25,6655082702637 
 < 22:58:19 >  40 76,8782119750977 25,7523136138916 
 < 22:58:20 >  40 77,5671920776367 25,8101844787598 
 < 22:58:21 >  40 78,2447357177734 25,8680553436279 
 < 22:58:22 >  40 79,0960845947266 25,8969898223877 
 < 22:58:23 >  40 79,6220932006836 25,9837951660156 
 < 22:58:24 >  40 80,30419921875 26,0416660308838 
 < 22:58:25 >  40 80,9667510986328 26,099536895752 
 < 22:58:26 >  40 81,6375885009766 26,1574077606201 
 < 22:58:27 >  40 82,3201446533203 26,2152767181396 
 < 22:58:28 >  40 83,1588592529297 26,244213104248 
 < 22:58:29 >  40 83,4806518554688 26,3599529266357 
 < 22:58:30 >  40 84,1569366455078 26,4178237915039 
 < 22:58:31 >  40 84,6498031616211 26,5046291351318 
 < 22:58:32 >  40 85,2890167236328 26,5625 
 < 22:58:33 >  40 85,9642562866211 26,6203708648682 
 < 22:58:34 >  40 86,4503860473633 26,7071762084961 
 < 22:58:35 >  40 86,926139831543 26,793981552124 
 < 22:58:36 >  40 87,5710830688477 26,8518505096436 
 < 22:58:37 >  40 88,0344009399414 26,9386577606201 
 < 22:58:38 >  40 88,6693954467773 26,9965267181396 
 < 22:58:39 >  40 89,2948532104492 27,0543975830078 
 < 22:58:40 >  40 89,5882263183594 27,1701393127441 
 < 22:58:41 >  40 90,0431747436523 27,2569446563721 
 < 22:58:42 >  40 90,5075378417969 27,34375 
 < 22:58:43 >  40 91,1191635131836 27,4016208648682 
 < 22:58:44 >  40 91,5623321533203 27,4884262084961 
 < 22:58:45 >  40 92,1657943725586 27,5462951660156 
 < 22:58:46 >  40 92,4155654907227 27,662036895752 
 < 22:58:47 >  40 92,849365234375 27,7488422393799 
 < 22:58:48 >  40 93,4380111694336 27,806713104248 
 < 22:58:49 >  40 93,8535919189453 27,893518447876 
 < 22:58:50 >  40 94,0983428955078 28,0092582702637 
 < 22:58:51 >  40 94,4995346069336 28,0960636138916 
 < 22:58:52 >  40 94,9071273803711 28,1828689575195 
 < 22:58:53 >  40 95,4692764282227 28,2407398223877 
 < 22:58:54 >  40 95,6879196166992 28,356481552124 
 < 22:58:55 >  40 96,0879592895508 28,443286895752 
 < 22:58:56 >  40 96,4646682739258 28,5300922393799 
 < 22:58:57 >  40 96,6788177490234 28,6458320617676 
 < 22:58:58 >  40 97,0473175048828 28,7326393127441 
 < 22:58:59 >  40 97,5843887329102 28,7905082702637 
 < 22:59:00 >  40 97,6024017333984 28,9351844787598 
 < 22:59:01 >  40 97,9587936401367 29,0219898223877 
 < 22:59:02 >  40 98,4667510986328 29,0798606872559 
 < 22:59:03 >  40 98,6409225463867 29,1956005096436 
 < 22:59:04 >  40 98,8056030273438 29,3113422393799 
 < 22:59:05 >  40 99,1340484619141 29,3981475830078 
 < 22:59:06 >  40 99,4613647460938 29,4849529266357 
 < 22:59:07 >  40 99,6040191650391 29,6006946563721 
 < 22:59:08 >  40 99,9151763916016 29,6875 
 < 22:59:09 >  40 100 29,8032398223877 
 < 22:59:10 >  40 100 29,8900451660156 
 < 22:59:11 >  40 100 30,005786895752 
 < 22:59:12 >  40 100 30,0925922393799 
 < 22:59:13 >  40 100 30,1793975830078 
 < 22:59:14 >  40 100 30,2951393127441 
