 < 17:02:47 >  421,563873291016 7,71372604370117 400 
 < 17:02:48 >  421,563873291016 7,71372604370117 400 
 < 17:02:49 >  421,563873291016 9,02574634552002 400 
 < 17:02:50 >  412,640869140625 14,0981197357178 400 
 < 17:02:51 >  412,640869140625 14,0981197357178 400 
 < 17:02:52 >  411,564270019531 14,0981197357178 400 
 < 17:02:53 >  411,564270019531 15,4010028839111 400 
 < 17:02:54 >  404,725524902344 17,9586772918701 400 
 < 17:02:55 >  404,725524902344 17,9586772918701 400 
 < 17:02:56 >  404,725524902344 19,7888107299805 400 
 < 17:02:57 >  404,725524902344 19,7888107299805 400 
 < 17:02:58 >  404,725524902344 19,7888107299805 400 
 < 17:02:59 >  404,006225585938 19,9740734100342 400 
 < 17:03:01 >  404,006225585938 20,0678405761719 400 
 < 17:03:02 >  404,006225585938 20,0678405761719 400 
 < 17:03:03 >  405,025360107422 19,822603225708 400 
 < 17:03:04 >  405,025360107422 19,822603225708 400 
 < 17:03:05 >  405,025360107422 19,822603225708 400 
 < 17:03:06 >  405,089477539063 19,5113964080811 400 
 < 17:03:07 >  405,089477539063 19,4465103149414 400 
 < 17:03:08 >  405,089477539063 19,4465103149414 400 
 < 17:03:09 >  404,342346191406 19,4979610443115 400 
 < 17:03:10 >  404,342346191406 19,4979610443115 400 
 < 17:03:11 >  404,342346191406 19,4979610443115 400 
 < 17:03:12 >  403,989318847656 19,7254657745361 400 
 < 17:03:13 >  403,989318847656 20,1004257202148 400 
 < 17:03:14 >  403,989318847656 20,1004257202148 400 
 < 17:03:15 >  403,871398925781 20,1592617034912 400 
 < 17:03:16 >  403,871398925781 20,1592617034912 400 
 < 17:03:17 >  403,618743896484 20,1002025604248 400 
 < 17:03:18 >  403,618743896484 20,1002025604248 400 
 < 17:03:19 >  403,618743896484 20,2893199920654 400 
 < 17:03:20 >  403,274200439453 20,4594383239746 400 
 < 17:03:21 >  403,274200439453 20,4594383239746 400 
 < 17:03:22 >  403,274200439453 20,4594383239746 400 
 < 17:03:23 >  403,400543212891 20,6485061645508 400 
 < 17:03:24 >  403,400543212891 20,6485061645508 400 
 < 17:03:25 >  403,400543212891 20,3866386413574 400 
 < 17:03:26 >  404,053375244141 20,2468338012695 400 
 < 17:03:27 >  404,053375244141 20,2468338012695 400 
 < 17:03:28 >  404,053375244141 20,2468338012695 400 
 < 17:03:29 >  404,053375244141 20,0048179626465 400 
 < 17:03:30 >  404,053375244141 20,0048179626465 400 
 < 17:03:31 >  404,053375244141 19,9092445373535 400 
 < 17:03:32 >  403,800720214844 19,9092445373535 400 
